Facility Name,City,State,ZIP Code,Payment Measure ID,Payment Measure Name,Payment Category,Payment,Value of Care Display ID,Value of Care Display Name,Value of Care Category,value_code
HOWARD COUNTY MEDICAL CENTER,ST PAUL,NE,68873,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,20261,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
MEMORIAL HEALTH CARE SYSTEMS,SEWARD,NE,68434,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16807,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
MEMORIAL HEALTH CARE SYSTEMS,SEWARD,NE,68434,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17486,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
DUNDY COUNTY HOSPITAL,BENKELMAN,NE,69021,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,20603,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES,CHADRON,NE,69337,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,16598,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CHI HEALTH ST. MARY'S,NEBRASKA CITY,NE,68410,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,19017,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
CHI HEALTH ST. MARY'S,NEBRASKA CITY,NE,68410,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,21384,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
WEST HOLT MEMORIAL HOSPITAL,ATKINSON,NE,68713,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15442,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
CHERRY COUNTY HOSPITAL,VALENTINE,NE,69201,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,13692,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
CHERRY COUNTY HOSPITAL,VALENTINE,NE,69201,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,18046,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
PROVIDENCE MEDICAL CENTER,WAYNE,NE,68787,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19674,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CHI HEALTH PLAINVIEW,PLAINVIEW,NE,68769,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,23013,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
OSMOND GENERAL HOSPITAL,OSMOND,NE,68765,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,22693,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
TRI VALLEY HEALTH SYSTEM,CAMBRIDGE,NE,69022,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,22791,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
PENDER COMMUNITY HOSPITAL,PENDER,NE,68047,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,20425,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
JOHNSON COUNTY HOSPITAL,TECUMSEH,NE,68450,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,20679,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CHASE COUNTY COMMUNITY HOSPITAL,IMPERIAL,NE,69033,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17908,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
"COMMUNITY MEDICAL CENTER, INC.",FALLS CITY,NE,68355,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17869,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
"COMMUNITY MEDICAL CENTER, INC.",FALLS CITY,NE,68355,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19032,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
"COMMUNITY MEDICAL CENTER, INC.",FALLS CITY,NE,68355,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20647,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
VALLEY COUNTY HEALTH SYSTEM,ORD,NE,68862,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,20742,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
VALLEY COUNTY HEALTH SYSTEM,ORD,NE,68862,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,22212,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
CRETE AREA MEDICAL CENTER,CRETE,NE,68333,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,20159,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CRETE AREA MEDICAL CENTER,CRETE,NE,68333,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,24061,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
OGALLALA COMMUNITY HOSPITAL,OGALLALA,NE,69153,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18683,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
PERKINS COUNTY HEALTH SERVICES,GRANT,NE,69140,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15718,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
SIDNEY REGIONAL MEDICAL CENTER,SIDNEY,NE,69162,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18218,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
SIDNEY REGIONAL MEDICAL CENTER,SIDNEY,NE,69162,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20891,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
GORDON MEMORIAL HOSPITAL DISTRICT,GORDON,NE,69343,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18522,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
MEMORIAL COMMUNITY HOSPITAL MCH & HEALTH SYSTEM,BLAIR,NE,68008,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18321,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
BOX BUTTE GENERAL HOSPITAL,ALLIANCE,NE,69301,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18411,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
BOX BUTTE GENERAL HOSPITAL,ALLIANCE,NE,69301,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18064,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
BOX BUTTE GENERAL HOSPITAL,ALLIANCE,NE,69301,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20971,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
LEXINGTON REGIONAL HEALTH CENTER,LEXINGTON,NE,68850,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18402,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
LEXINGTON REGIONAL HEALTH CENTER,LEXINGTON,NE,68850,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20918,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
PHELPS MEMORIAL HEALTH CENTER,HOLDREGE,NE,68949,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17702,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
PHELPS MEMORIAL HEALTH CENTER,HOLDREGE,NE,68949,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19974,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
PHELPS MEMORIAL HEALTH CENTER,HOLDREGE,NE,68949,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20414,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
COMMUNITY HOSPITAL,MCCOOK,NE,69001,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18677,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Worse Mortality and Average Payment,HF
COMMUNITY HOSPITAL,MCCOOK,NE,69001,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19120,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
COMMUNITY HOSPITAL,MCCOOK,NE,69001,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,22747,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",BEATRICE,NE,68310,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17921,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",BEATRICE,NE,68310,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17668,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",BEATRICE,NE,68310,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,19914,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
JENNIE M MELHAM MEMORIAL MEDICAL CENTER,BROKEN BOW,NE,68822,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17445,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
JENNIE M MELHAM MEMORIAL MEDICAL CENTER,BROKEN BOW,NE,68822,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16223,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
RENOWN REGIONAL MEDICAL CENTER,RENO,NV,89502,PAYM_30_AMI,Payment for heart attack patients,Less Than the National Average Payment,22672,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Lower Payment,AMI
RENOWN REGIONAL MEDICAL CENTER,RENO,NV,89502,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17252,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Worse Mortality and Average Payment,HF
RENOWN REGIONAL MEDICAL CENTER,RENO,NV,89502,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18569,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
RENOWN REGIONAL MEDICAL CENTER,RENO,NV,89502,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,17010,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
SUNRISE HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89109,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,32122,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Higher Payment,AMI
SUNRISE HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89109,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,20348,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
SUNRISE HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89109,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,23606,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
SUNRISE HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89109,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,25291,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
NORTH VISTA HOSPITAL,NORTH LAS VEGAS,NV,89030,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26804,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
NORTH VISTA HOSPITAL,NORTH LAS VEGAS,NV,89030,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,19844,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
NORTH VISTA HOSPITAL,NORTH LAS VEGAS,NV,89030,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,27584,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
UNIVERSITY MEDICAL CENTER,LAS VEGAS,NV,89102,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,28731,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
UNIVERSITY MEDICAL CENTER,LAS VEGAS,NV,89102,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18534,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
UNIVERSITY MEDICAL CENTER,LAS VEGAS,NV,89102,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,20414,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
UNIVERSITY MEDICAL CENTER,LAS VEGAS,NV,89102,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,23884,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
NORTHEASTERN NEVADA REGIONAL HOSPITAL,ELKO,NV,89801,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26727,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
NORTHEASTERN NEVADA REGIONAL HOSPITAL,ELKO,NV,89801,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17922,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
NORTHEASTERN NEVADA REGIONAL HOSPITAL,ELKO,NV,89801,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16426,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
NORTHEASTERN NEVADA REGIONAL HOSPITAL,ELKO,NV,89801,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20749,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
SAINT MARY'S REGIONAL MEDICAL CENTER,RENO,NV,89503,PAYM_30_AMI,Payment for heart attack patients,Less Than the National Average Payment,22519,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Lower Payment,AMI
SAINT MARY'S REGIONAL MEDICAL CENTER,RENO,NV,89503,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,15832,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Lower Payment,HF
SAINT MARY'S REGIONAL MEDICAL CENTER,RENO,NV,89503,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,19437,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
SAINT MARY'S REGIONAL MEDICAL CENTER,RENO,NV,89503,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,18000,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA,HENDERSON,NV,89015,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24848,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA,HENDERSON,NV,89015,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,21066,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA,HENDERSON,NV,89015,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,20859,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA,HENDERSON,NV,89015,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,17840,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
CARSON TAHOE REGIONAL MEDICAL CENTER,CARSON CITY,NV,89703,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24317,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
CARSON TAHOE REGIONAL MEDICAL CENTER,CARSON CITY,NV,89703,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,16738,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
CARSON TAHOE REGIONAL MEDICAL CENTER,CARSON CITY,NV,89703,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16359,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
CARSON TAHOE REGIONAL MEDICAL CENTER,CARSON CITY,NV,89703,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,19014,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89106,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24400,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89106,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17879,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89106,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,21909,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89106,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,23896,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
DESERT SPRINGS HOSPITAL,LAS VEGAS,NV,89119,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,27181,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
DESERT SPRINGS HOSPITAL,LAS VEGAS,NV,89119,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,19117,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
DESERT SPRINGS HOSPITAL,LAS VEGAS,NV,89119,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,22647,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
DESERT SPRINGS HOSPITAL,LAS VEGAS,NV,89119,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,28763,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
NORTHERN NEVADA MEDICAL CENTER,SPARKS,NV,89434,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24599,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
NORTHERN NEVADA MEDICAL CENTER,SPARKS,NV,89434,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16359,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
NORTHERN NEVADA MEDICAL CENTER,SPARKS,NV,89434,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18977,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
NORTHERN NEVADA MEDICAL CENTER,SPARKS,NV,89434,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,17288,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
MOUNTAINVIEW HOSPITAL,LAS VEGAS,NV,89128,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,27035,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
MOUNTAINVIEW HOSPITAL,LAS VEGAS,NV,89128,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,20913,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Higher Payment,HF
MOUNTAINVIEW HOSPITAL,LAS VEGAS,NV,89128,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,22707,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
MOUNTAINVIEW HOSPITAL,LAS VEGAS,NV,89128,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,23547,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
SUMMERLIN HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89144,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25784,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
SUMMERLIN HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89144,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,20320,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
SUMMERLIN HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89144,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,20823,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Higher Payment,PN
SUMMERLIN HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89144,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,23252,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,HENDERSON,NV,89052,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,28355,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Higher Payment,AMI
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,HENDERSON,NV,89052,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,20717,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,HENDERSON,NV,89052,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,21168,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,HENDERSON,NV,89052,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,21168,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Worse Complications and Average Payment,KNEE
SPRING VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89118,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26008,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
SPRING VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89118,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,19122,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
SPRING VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89118,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,20903,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
SPRING VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89118,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,26242,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89148,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26869,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89148,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,20414,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89148,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,20092,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89148,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,21460,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
RENOWN SOUTH MEADOWS MEDICAL CENTER,RENO,NV,89521,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,15870,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
RENOWN SOUTH MEADOWS MEDICAL CENTER,RENO,NV,89521,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15822,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
RENOWN SOUTH MEADOWS MEDICAL CENTER,RENO,NV,89521,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,17548,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
